person name ID	corporate indicator	index order	name entry element	name scope notes	name second element	name third element	natural order	name query indicator	standardised entry element	standardised second element
377	FALSE		Hugh		Viator			FALSE	hugh	viator
379	FALSE		Augerius			monk [of Saint-Vincent]		FALSE	augerius	
380	TRUE		Lewes		Priory			FALSE	lewes	priory
381	FALSE		Robert I			duke of Normandy		FALSE	robert i	
382	FALSE		Henry					FALSE	henry	
383	FALSE		Richard		de Ton'			FALSE	richard	de ton'
384	FALSE		Miles		Crispin			FALSE	miles	crispin
385	TRUE		Lincoln		Cathedral			FALSE	lincoln	cathedral
386	FALSE		Turold			sheriff of Lincolnshire		FALSE	turold	
387	FALSE		Alexander II			pope		FALSE	alexander ii	
388	TRUE		Lisieux		Saint-Désir			FALSE	lisieux	saint-désir
389	FALSE		Aytardus					FALSE	aytardus	
390	FALSE		Osmund			knight of king William		FALSE	osmund	
391	TRUE		"London,"		St Martin-le-Grand			FALSE	"london,"	saint martin-le-grand
392	FALSE		Hugh			bishop of London		FALSE	hugh	
393	TRUE		"London,"		St Paul's			FALSE	"london,"	saint paul's
394	FALSE		Stigand			archbishop of Canterbury		FALSE	stigand	
395	FALSE		Ranulf		Peverel			FALSE	ranulf	peverel
396	FALSE		Æthelbert			king of Kent		FALSE	æthelbert	
397	FALSE		William			deacon		FALSE	william	
398	FALSE		Ralph			brother of William the deacon		FALSE	ralph	
399	FALSE		Ælfwi			bishop of London		FALSE	ælfwi	
400	TRUE		Lyre		Abbey			FALSE	lyre	abbey
401	FALSE		Robert		son of Gothmann			FALSE	robert	son of gothmann
402	TRUE		Malmesbury		Abbey			FALSE	malmesbury	abbey
403	FALSE		R.		son of Alwart			FALSE	r.	son of alwart
404	TRUE		Marmoutier		Abbey			FALSE	marmoutier	abbey
405	FALSE		Nigel		son of Nigel			FALSE	nigel	son of nigel
406	FALSE		Nigel					FALSE	nigel	
407	FALSE		Bartholomew			abbot of Marmoutier		FALSE	bartholomew	
409	FALSE		Roger		de Viriaco	brother of Ranulf		FALSE	roger	de viriaco
410	FALSE		Humfrey		de Oistrehan			FALSE	humfrey	de oistrehan
411	FALSE		William		son of Helgius			FALSE	william	son of helgius
412	FALSE		Hugh		de Gournay			FALSE	hugh	de gournay
413	FALSE		Ralph		son of Herluin			FALSE	ralph	son of herluin
414	FALSE		William		son of Hasten-	chus		FALSE	william	son of hasten-
415	FALSE		Roger			seneschal of the bishop of Bayeux		FALSE	roger	
416	FALSE		Humfrey		de Bohun			FALSE	humfrey	de bohun
417	FALSE		Serlo			knight		FALSE	serlo	
418	FALSE		Hilgo			priest		FALSE	hilgo	
419	FALSE		Hugolinus		de Cherbourg			FALSE	hugolinus	de cherbourg
420	FALSE		Turgis					FALSE	turgis	
421	FALSE		Humfrey		son of Anschitill			FALSE	humfrey	son of anschitill
422	FALSE		Robert		de Beaumont			FALSE	robert	de beaumont
423	FALSE		William		de Lestra			FALSE	william	de lestra
424	FALSE		Robert		son of Osbern			FALSE	robert	son of osbern
425	FALSE		Ragnulfus		Avenel			FALSE	ragnulfus	avenel
426	FALSE		Matilda			countess of Mortain		FALSE	matilda	
427	FALSE		William			count of Mortain		FALSE	william	
428	FALSE		Eudo		son of Thurstan			FALSE	eudo	son of thurstan
429	FALSE		Geoffrey					FALSE	geoffrey	
430	FALSE		Richard					FALSE	richard	
431	FALSE		Peter					FALSE	peter	
432	FALSE		Ralph					FALSE	ralph	
433	FALSE		Ingelrann					FALSE	ingelrann	
434	FALSE		Roger			hostiarius		FALSE	roger	
435	FALSE		William		Paganus			FALSE	william	paganus
436	TRUE		Montebourg		Abbey			FALSE	montebourg	abbey
437	TRUE		Montivilliers		Abbey			FALSE	montivilliers	abbey
438	FALSE		Wasta		daughter of Rainer			FALSE	wasta	daughter of rainer
439	FALSE		Hilduin		brother of Wasta			FALSE	hilduin	brother of wasta
440	FALSE		Reginald			chaplain of the king		FALSE	reginald	
441	FALSE		Reginald		de Montivill-	iers		FALSE	reginald	de montivill-
442	FALSE		Alured					FALSE	alured	
443	FALSE		Gilbert		de Cevron			FALSE	gilbert	de cevron
444	FALSE		William		nephew of Hugh	dapifer		FALSE	william	nephew of hugh
445	FALSE		Wimund		Gaillart			FALSE	wimund	gaillart
446	FALSE		Hugh		d'Ivry	butler of King William I		FALSE	hugh	divry
447	FALSE		Hawise		daughter of Nicholas			FALSE	hawise	daughter of nicholas
448	FALSE		Geoffrey		Martel			FALSE	geoffrey	martel
449	FALSE		Gilbert		Chalvellus			FALSE	gilbert	chalvellus
451	TRUE		Peterborough		Abbey			FALSE	peterborough	abbey
452	FALSE		Brand			abbot of Peterborough		FALSE	brand	
453	FALSE		Merleswein			sheriff		FALSE	merleswein	
454	FALSE		Ulf		son of Topus			FALSE	ulf	son of topus
455	TRUE		Préaux		Abbey			FALSE	préaux	abbey
456	FALSE		Thorix		the Dane			FALSE	thorix	the dane
457	FALSE		Ælfhelm		of Watlington			FALSE	ælfhelm	of watlington
458	FALSE		Wulfric		of Watlington			FALSE	wulfric	of watlington
459	TRUE		Ramsey		Abbey			FALSE	ramsey	abbey
460	FALSE		Ælfwine			"abbot of Ramsey, 1080-1087"		FALSE	ælfwine	
461	TRUE		Rochester		Cathedral			FALSE	rochester	cathedral
462	FALSE		William II			king of England		FALSE	william ii	
463	FALSE		Olchete			servant of the king		FALSE	olchete	
464	FALSE		Edward		of Chippenham			FALSE	edward	of chippenham
465	FALSE		Harold					FALSE	harold	
466	FALSE		Leofwine	"Possible from sokeman, or maybe  text should read 'de saca de Exninge' or similar."	saca of Exning			FALSE	leofwine	saca of exning
467	FALSE		Eadric		of Isleham			FALSE	eadric	of isleham
468	FALSE		Wulfwine		of Landwade			FALSE	wulfwine	of landwade
469	FALSE		Ordmer		of Badlingham			FALSE	ordmer	of badlingham
470	FALSE		Grim			monk		FALSE	grim	
471	TRUE		"Rouen,"		St Mary's	the cathedral		FALSE	"rouen,"	saint mary's
472	FALSE		Simon		son of count Ralph			FALSE	simon	son of count ralph
473	FALSE		Maurilius			archbishop of Rouen		FALSE	maurilius	
475	FALSE		Roger		de Blosseville	-sur-Mer		FALSE	roger	de blosseville
476	FALSE		Benedict			archdeacon of Rouen		FALSE	benedict	
477	FALSE		Arnulf		Pinellus			FALSE	arnulf	pinellus
478	FALSE		Herbert		de Touques			FALSE	herbert	de touques
479	FALSE		Elias		de Gerberoi			FALSE	elias	de gerberoi
480	FALSE		Hugh		de Avrechy			FALSE	hugh	de avrechy
481	FALSE		Peter		of Beauvais			FALSE	peter	of beauvais
482	FALSE		Robert			dean of Rouen		FALSE	robert	
483	FALSE		Gotterus			archdeacon of Rouen		FALSE	gotterus	
484	FALSE		Goscelin			archdeacon of Rouen		FALSE	goscelin	
485	FALSE		Hugh		de Sildeuilla	canon of Rouen		FALSE	hugh	de sildeuilla
486	FALSE		Gilbert		son of Bernard			FALSE	gilbert	son of bernard
487	FALSE		Roger		Boldinus			FALSE	roger	boldinus
488	FALSE		William		son of Osbern			FALSE	william	son of osbern
489	FALSE		Henry IV			emperor		FALSE	henry iv	
490	FALSE		William		son of Godfrey			FALSE	william	son of godfrey
491	FALSE		Robert			archbishop of Rouen		FALSE	robert	
492	FALSE		William			abbot of Fecamp		FALSE	william	
493	FALSE		Gontardus			abbot of Jumièges		FALSE	gontardus	
494	FALSE		Fulk			abbot of Saint-Pierre-sur-Dive		FALSE	fulk	
495	TRUE		"Rouen,"		Holy Trinity			FALSE	"rouen,"	holy trinity
496	FALSE		Roger		son of Turold			FALSE	roger	son of turold
497	FALSE		William		Trenchefoil			FALSE	william	trenchefoil
498	FALSE		Bernard			forester		FALSE	bernard	
499	FALSE		Richard					FALSE	richard	
500	FALSE		Osbern					FALSE	osbern	
501	FALSE		Roger		Poncon			FALSE	roger	poncon
502	FALSE		Rainer			"abbot of Holy Trinity, Rouen"		FALSE	rainer	
503	FALSE		Nicholas			"monk of Holy Trinity, Rouen"		FALSE	nicholas	
504	FALSE		William			"monk of Holy Trinity, Rouen"		FALSE	william	
505	FALSE		Robert		son of Wimarch			FALSE	robert	son of wimarch
506	FALSE		Erchenbald		son of Erchenbald			FALSE	erchenbald	son of erchenbald
507	FALSE		Emma		mother of W. fitz Osbern			FALSE	emma	mother of w. fitz osbern
