act ID	person name ID	name-role	name sequence	name query indicator
1860	1472	W	28	FALSE
1860	1494	W	27	FALSE
1860	1497	W	15	FALSE
1860	1502	R	1	FALSE
1860	1504	W	1	FALSE
1860	1506	W	8	FALSE
1860	1507	W	14	FALSE
1860	1509	W	7	FALSE
1860	1512	W	9	FALSE
1860	1520	W	16	FALSE
1860	1522	W	22	FALSE
1860	1540	W	17	FALSE
1860	1562	W	19	FALSE
1860	1756	W	2	FALSE
1860	1780	W	12	FALSE
1860	1802	W	13	FALSE
1860	3205	W	11	FALSE
1860	3395	W	5	FALSE
1860	3451	W	26	FALSE
1861	188	B	0	FALSE
1862	2	R	1	FALSE
1862	27	R	2	FALSE
1862	1471	W	2	FALSE
1862	1666	R	3	FALSE
1862	2303	W	3	FALSE
1862	3108	R	4	FALSE
1862	3169	W	4	FALSE
1862	3207	W	1	FALSE
1862	3452	B	0	FALSE
1863	50	A	2	FALSE
1863	50	W	2	FALSE
1863	110	A	1	FALSE
1863	191	B	0	FALSE
1863	1504	W	1	FALSE
1864	50	A	1	FALSE
1864	191	B	0	FALSE
1864	3028	W	1	FALSE
1865	191	B	0	FALSE
1865	3028	W	1	FALSE
1866	2	R	1	FALSE
1866	191	B	0	FALSE
1866	462	R	2	FALSE
1866	1231	W	1	FALSE
1866	1504	W	2	FALSE
1867	191	B	0	FALSE
1867	988	W	3	FALSE
1867	1271	W	1	FALSE
1867	1398	W	4	FALSE
1867	1469	W	2	FALSE
1867	3453	R	1	FALSE
1868	50	A	1	FALSE
1868	50	W	1	FALSE
1868	191	B	0	FALSE
1868	3453	R	1	FALSE
1869	50	A	2	FALSE
1869	110	A	1	FALSE
1869	191	B	0	FALSE
1869	1231	W	2	FALSE
1869	1469	W	1	FALSE
1869	3453	R	1	FALSE
1869	3454	R	2	FALSE
1870	50	A	2	FALSE
1870	110	A	1	FALSE
1870	191	B	0	FALSE
1870	1231	W	2	FALSE
1870	1469	W	1	FALSE
1870	3453	R	1	FALSE
1871	50	R	2	FALSE
1871	191	B	0	FALSE
1871	1231	W	1	FALSE
1871	3453	R	1	FALSE
1872	191	B	0	FALSE
1872	988	W	1	FALSE
1872	1398	W	2	FALSE
1872	1765	R	2	FALSE
1872	1766	R	3	FALSE
1872	1767	R	4	FALSE
1872	3453	R	1	FALSE
1873	50	A	4	FALSE
1873	50	W	4	FALSE
1873	188	R	3	FALSE
1873	191	B	0	FALSE
1873	988	W	2	FALSE
1873	1149	W	5	FALSE
1873	1333	A	1	FALSE
1873	1469	W	1	FALSE
1873	3061	W	3	FALSE
1873	3109	A	2	FALSE
1873	3128	W	6	FALSE
1873	3285	R	2	FALSE
1873	3453	A	3	FALSE
1873	3453	R	1	FALSE
1874	50	W	1	FALSE
1874	191	B	0	FALSE
1874	196	R	2	FALSE
1874	3109	A	1	FALSE
1874	3453	R	1	FALSE
1875	191	B	0	FALSE
1875	617	W	3	FALSE
1875	1469	W	1	FALSE
1875	1778	A	2	FALSE
1875	3061	W	2	FALSE
1875	3109	A	1	FALSE
1875	3453	R	1	FALSE
